id,sourceDocumentId,topicId,type,questionText,options,correctAnswer,explanation,difficulty,createdAt,lastUsed,useCount
"11","3","3","assignment","Zu welchem Thema gehört folgender Begriff: Kano-Modell","[{""id"":""a"",""text"":""Marktsegmentierung"",""correct"":false},{""id"":""b"",""text"":""Kundenzufriedenheit und Kaufverhalten"",""correct"":true},{""id"":""c"",""text"":""Informationsmanagement"",""correct"":false},{""id"":""d"",""text"":""Sortimentspolitik"",""correct"":false}]","","Das Kano-Modell wird zur Klassifizierung von Kundenerwartungen und zur Steigerung der Kundenzufriedenheit verwendet.","basic","2025-08-20T06:41:42.260Z","2025-08-20T07:16:41.536Z","3"
"12","3","3","assignment","Zu welchem Thema gehört folgender Begriff: Customer Journey","[{""id"":""a"",""text"":""Marktforschung"",""correct"":false},{""id"":""b"",""text"":""Kommunikationspolitik"",""correct"":false},{""id"":""c"",""text"":""Kaufverhalten"",""correct"":true},{""id"":""d"",""text"":""Preispolitik"",""correct"":false}]","","Die Customer Journey beschreibt den gesamten Prozess der Kundeninteraktion mit einem Unternehmen, vom ersten Kontakt bis zum Kauf und der Nachkaufphase.","basic","2025-08-20T06:41:42.261Z","2025-08-20T11:31:40.964Z","2"
"13","4","4","definition","Was wird unter dem Planungsprinzip der 'Rollierung' verstanden?","[{""id"":""a"",""text"":""Abfolge von Planungen von Absatz zu Beschaffung"",""correct"":false},{""id"":""b"",""text"":""Periodische Fortschreibung um jeweils eine Periode"",""correct"":true},{""id"":""c"",""text"":""Wiederkehrende Prognosezyklen"",""correct"":false},{""id"":""d"",""text"":""Abstufung nach Fristigkeit"",""correct"":false}]","","Rollierung bedeutet die periodische Fortschreibung von Plänen um jeweils eine Periode basierend auf Ist- und neuen Prognosedaten.","basic","2025-08-20T06:42:02.634Z","2025-08-20T11:23:30.375Z","2"
"14","4","4","case","Ein E-Commerce-Unternehmen plant die Einführung eines neuen Produkts. Die fixen Kosten betragen 10.000 €, der Verkaufspreis pro Stück liegt bei 20 €, und die variablen Kosten bei 10 € pro Stück. Wie viele Einheiten müssen verkauft werden, um die Gewinnschwelle zu erreichen?","[{""id"":""a"",""text"":""500 Einheiten"",""correct"":true},{""id"":""b"",""text"":""1.000 Einheiten"",""correct"":false},{""id"":""c"",""text"":""1.500 Einheiten"",""correct"":false},{""id"":""d"",""text"":""2.000 Einheiten"",""correct"":false}]","","Zur Berechnung der Gewinnschwelle oder des Break-Even-Punktes teilt man die fixen Kosten durch den Stückdeckungsbeitrag: 10.000 € / (20 € - 10 €) = 1.000 Einheiten.","basic","2025-08-20T06:42:02.635Z","2025-08-20T07:15:25.585Z","3"
"15","4","4","assignment","Zu welchem Thema gehört folgender Begriff: Balanced Scorecard","[{""id"":""a"",""text"":""Produktlebenszyklus"",""correct"":false},{""id"":""b"",""text"":""Strategische Planung"",""correct"":false},{""id"":""c"",""text"":""Kennzahlensysteme"",""correct"":true},{""id"":""d"",""text"":""Kostenoptimierung"",""correct"":false}]","","Die Balanced Scorecard ist ein mehrdimensionales Kennzahlensystem, das finanzielle und nicht-finanzielle Perspektiven integriert.","basic","2025-08-20T06:42:02.635Z","2025-08-20T07:13:50.433Z","3"
"16","4","4","definition","Was versteht man unter dem Begriff 'Liquidität' in der operativen Planung?","[{""id"":""a"",""text"":""Fähigkeit, langfristige Investitionen zu tätigen"",""correct"":false},{""id"":""b"",""text"":""Kapazität, alle Rechnungen termingerecht zu verschicken"",""correct"":false},{""id"":""c"",""text"":""Fähigkeit, jederzeit Zahlungsverpflichtungen zu erfüllen"",""correct"":true},{""id"":""d"",""text"":""Option, kurzfristige Kredite bei der Bank aufzunehmen"",""correct"":false}]","","Liquidität bezieht sich auf die Fähigkeit eines Unternehmens, jederzeit seinen Zahlungsverpflichtungen nachzukommen.","basic","2025-08-20T06:42:02.635Z","2025-08-20T11:30:52.293Z","2"
"17","5","5","definition","Was versteht man unter einem Compliance-Managementsystem (CMS)?","[{""id"":""a"",""text"":""Ein System zur Steuerung der finanziellen Ressourcen in Unternehmen."",""correct"":false},{""id"":""b"",""text"":""Ein System zur Einhaltung interner und externer Regeln wie Gesetze, Standards und Selbstverpflichtungen."",""correct"":true},{""id"":""c"",""text"":""Ein System zur Optimierung der Produktionsprozesse."",""correct"":false},{""id"":""d"",""text"":""Ein System zur Verbesserung der Kundenbeziehungen."",""correct"":false}]","","Ein Compliance-Managementsystem (CMS) ist darauf ausgerichtet, die Einhaltung von Gesetzen sowie internen und externen Standards sicherzustellen.","basic","2025-08-20T06:42:36.176Z","2025-08-20T09:54:47.365Z","2"
"18","5","5","case","Ein Unternehmen plant die Einführung eines neuen Produkts in einem bestehenden Markt. Welche Strategie laut Ansoff-Matrix wählen sie am wahrscheinlichsten aus?","[{""id"":""a"",""text"":""Marktentwicklung"",""correct"":false},{""id"":""b"",""text"":""Produktentwicklung"",""correct"":true},{""id"":""c"",""text"":""Diversifikation"",""correct"":false},{""id"":""d"",""text"":""Marktdurchdringung"",""correct"":false}]","","Die Produktentwicklung fokussiert auf die Einführung neuer Produkte in bestehende Märkte, um neue Bedürfnisse der Kunden zu bedienen oder Marktanteile zu gewinnen.","basic","2025-08-20T06:42:36.176Z","2025-08-20T11:24:27.780Z","2"
"19","5","5","assignment","Zu welchem Thema gehört folgender Begriff: Marktdurchdringung?","[{""id"":""a"",""text"":""BCG-Matrix"",""correct"":false},{""id"":""b"",""text"":""Ansoff-Produkt-Markt-Matrix"",""correct"":true},{""id"":""c"",""text"":""Porter’s Five Forces"",""correct"":false},{""id"":""d"",""text"":""SWOT-Analyse"",""correct"":false}]","","Marktdurchdringung ist eine Strategie aus der Ansoff-Produkt-Markt-Matrix, bei der bestehende Produkte intensiver im bestehenden Markt vertrieben werden.","basic","2025-08-20T06:42:36.177Z","2025-08-20T09:58:06.193Z","2"
"20","6","6","definition","Wie wird Anforderungsmanagement im E-Commerce definiert und wie grenzt es sich vom Requirements Engineering ab?","[{""id"":""a"",""text"":""Anforderungsmanagement ist die Dokumentation von Anforderungen ohne Bezug zum gesamten Lebenszyklus."",""correct"":false},{""id"":""b"",""text"":""Anforderungsmanagement umfasst die Steuerung, Kontrolle und Verwaltung von Anforderungen und ist ein Teil des Requirements Engineerings."",""correct"":true},{""id"":""c"",""text"":""Requirements Engineering ist auf die Implementation technischer Lösungen beschränkt."",""correct"":false},{""id"":""d"",""text"":""Anforderungsmanagement befasst sich nur mit technischen Anforderungen."",""correct"":false}]","","Anforderungsmanagement unterstützt den gesamten Prozess von der Projektidee über die Zieldefinition bis zur Umsetzung und umfasst Maßnahmen zur Steuerung, Kontrolle und Verwaltung von Anforderungen im Requirements Engineering.","basic","2025-08-20T06:52:43.922Z","2025-08-20T07:21:37.407Z","3"
"21","6","6","assignment","Zu welchem Thema gehört folgender Begriff: Risikomanagement?","[{""id"":""a"",""text"":""Requirements Engineering"",""correct"":false},{""id"":""b"",""text"":""Controlling im E-Commerce"",""correct"":false},{""id"":""c"",""text"":""Anforderungsmanagement im E-Commerce"",""correct"":true},{""id"":""d"",""text"":""Projektmanagement"",""correct"":false}]","","Risikomanagement ist einer der drei Bereiche des Anforderungsmanagements im E-Commerce und umfasst die Steuerung und Verwaltung von Risiken im Rahmen von Anforderungen.","basic","2025-08-20T06:52:43.923Z","2025-08-20T08:05:23.057Z","4"
"22","7","7","definition","Was versteht man unter dem Begriff Customer Lifetime Value (CLV) im E-Commerce-Controlling?","[{""id"":""a"",""text"":""Der durchschnittliche Bestellwert eines Kunden über einen bestimmten Zeitraum."",""correct"":false},{""id"":""b"",""text"":""Die Gesamteinnahmen, die ein Unternehmen von einem Kunden über dessen gesamte Geschäftsbeziehung erwartet."",""correct"":true},{""id"":""c"",""text"":""Die Anzahl der Transaktionen, die ein Kunde innerhalb eines Monats tätigt."",""correct"":false},{""id"":""d"",""text"":""Der Anteil der Kunden, die nach einem Kauf weitere Käufe tätigen."",""correct"":false}]","","Der Customer Lifetime Value (CLV) beschreibt die Gesamteinnahmen, die ein Unternehmen von einem Kunden über die gesamte Dauer der Geschäftsbeziehung erwarten kann.","basic","2025-08-20T06:52:57.023Z","2025-08-20T11:17:22.646Z","2"
"23","7","7","assignment","Zu welchem Thema gehört folgender Begriff: Conversion Funnel","[{""id"":""a"",""text"":""Prozessmanagement"",""correct"":false},{""id"":""b"",""text"":""Nutzererfahrung/Conversionrate"",""correct"":true},{""id"":""c"",""text"":""Finanzbuchhaltung"",""correct"":false},{""id"":""d"",""text"":""Vertragsmanagement"",""correct"":false}]","","Der Conversion Funnel ist Teil des Themas Nutzererfahrung/Conversionrate, da er die Schritte beschreibt, die ein Nutzer zur Erreichung einer Conversion durchläuft.","basic","2025-08-20T06:52:57.023Z","2025-08-20T07:21:43.244Z","3"
"24","8","8","definition","Was umfasst Online-Marketing gemäß dem Deutschen Institut für Marketing (DIM)?","[{""id"":""a"",""text"":""Nur die Nutzung von Social Media zur Kundenansprache"",""correct"":false},{""id"":""b"",""text"":""Geplante Maßnahmen für Entwicklung und Kommunikation von Leistungen über Online-Medien"",""correct"":true},{""id"":""c"",""text"":""Ausschließlich die Platzierung von Online-Werbung"",""correct"":false},{""id"":""d"",""text"":""Nur E-Mail-Marketing-Kampagnen zur Umsatzsteigerung"",""correct"":false}]","","Online-Marketing gemäß DIM umfasst alle gezielten Aktivitäten und Prozesse, die über Online-Medien erfolgen, um Leistungen zu entwickeln, kommunizieren und zu realisieren, und so einen Mehrwert für Kunden, Online-Nutzer und das Unternehmen zu schaffen.","basic","2025-08-20T06:53:07.568Z","2025-08-20T11:25:10.138Z","2"
"25","8","8","assignment","Zu welchem Thema gehört folgender Begriff: Call-to-Action (CTA)","[{""id"":""a"",""text"":""Produktentwicklung"",""correct"":false},{""id"":""b"",""text"":""Mobile Marketing"",""correct"":false},{""id"":""c"",""text"":""Suchmaschinenwerbung"",""correct"":false},{""id"":""d"",""text"":""Interaktion im Online-Marketing"",""correct"":true}]","","Call-to-Action (CTA) gehört zur Interaktion im Online-Marketing, da sie Maßnahmen zur Steigerung der Kundenaktivität sind und über KPI wie Verweildauer und Absprungrate gesteuert werden.","basic","2025-08-20T06:53:07.568Z","2025-08-20T11:35:12.120Z","2"
"26","9","9","definition","Was versteht man unter Business Process Model and Notation (BPMN)?","[{""id"":""a"",""text"":""Eine Methode zur flächigen Prozessdarstellung, die vor allem textuell arbeitet."",""correct"":false},{""id"":""b"",""text"":""Ein Standard zur grafischen Modellierung und Darstellung von Geschäftsprozessen mit ausreichender Detailtiefe."",""correct"":true},{""id"":""c"",""text"":""Ein veralteter Standard, der in modernen Unternehmen kaum noch verwendet wird."",""correct"":false},{""id"":""d"",""text"":""Ein Werkzeug zur reinen Softwareentwicklung ohne Anwendung im Geschäftsprozessmanagement."",""correct"":false}]","","BPMN ist ein von der Object Management Group entwickelter Standard, der zur grafischen Modellierung und Darstellung von Geschäftsprozessen dient und dabei eine ausreichende Detailtiefe bietet.","basic","2025-08-20T06:53:18.327Z","2025-08-20T11:27:41.244Z","2"
"27","9","9","assignment","Zu welchem Thema gehört folgender Begriff: Lean Management","[{""id"":""a"",""text"":""Risikomanagement"",""correct"":false},{""id"":""b"",""text"":""Business Process Management"",""correct"":true},{""id"":""c"",""text"":""Unternehmensfinanzen"",""correct"":false},{""id"":""d"",""text"":""Personalentwicklung"",""correct"":false}]","","Lean Management ist eine Methode im Rahmen des Business Process Management, die sich auf die Eliminierung von Verschwendung und die Effizienzsteigerung von Geschäftsprozessen konzentriert.","basic","2025-08-20T06:53:18.328Z","2025-08-20T07:20:37.884Z","3"
"28","10","10","definition","Definieren Sie den Begriff 'Verbraucher' nach § 13 BGB.","[{""id"":""a"",""text"":""Ein Verbraucher ist eine juristische Person, die zu gewerblichen Zwecken Verträge abschließt."",""correct"":false},{""id"":""b"",""text"":""Ein Verbraucher ist jede natürliche Person, die ein Rechtsgeschäft zu überwiegend privat genutzten Zwecken tätigt."",""correct"":false},{""id"":""c"",""text"":""Ein Verbraucher ist eine natürliche Person, die Rechtsgeschäfte überwiegend zu Zwecken abschließt, die weder ihrer gewerblichen noch ihrer selbständigen beruflichen Tätigkeit zugerechnet werden."",""correct"":true},{""id"":""d"",""text"":""Ein Verbraucher ist ein Unternehmen, das Produkte an Endkunden verkauft."",""correct"":false}]","","Laut § 13 BGB ist ein Verbraucher eine natürliche Person, die zu überwiegend privaten Zwecken Rechtsgeschäfte abschließt, die nicht ihrer beruflichen Tätigkeit dienen.","basic","2025-08-20T06:53:39.768Z","2025-08-20T11:17:43.416Z","2"
"29","10","10","assignment","Zu welchem Thema gehört folgender Begriff: Datenschutz","[{""id"":""a"",""text"":""Marketingstrategien"",""correct"":false},{""id"":""b"",""text"":""Wettbewerbsrecht"",""correct"":false},{""id"":""c"",""text"":""Datenschutzerklärung und -sicherheit"",""correct"":true},{""id"":""d"",""text"":""Kundenbeschwerdemanagement"",""correct"":false}]","","Datenschutz gehört zur Datenschutzerklärung und -sicherheit, da es um den Schutz personenbezogener Daten gemäß DSGVO und BDSG geht.","basic","2025-08-20T06:53:39.769Z","2025-08-20T09:51:53.106Z","2"
"30","1","11","definition","Was versteht man unter digitaler Infrastruktur im Kontext von E-Commerce?","[{""id"":""a"",""text"":""Die Geschäftsräume eines Unternehmens"",""correct"":false},{""id"":""b"",""text"":""Sämtliche Hard- und Software eines Unternehmens, sowohl stationär als auch mobil"",""correct"":true},{""id"":""c"",""text"":""Nur die Server eines Unternehmens"",""correct"":false},{""id"":""d"",""text"":""Kundenservice-Einrichtungen und Logistikzentren"",""correct"":false}]","","Digitale Infrastruktur im E-Commerce umfasst alle hard- und softwaretechnischen Ressourcen, sowohl stationär als auch mobil, die zur Verwaltung und Analyse von Daten im Unternehmen dienen.","basic","2025-08-20T07:12:10.581Z","2025-08-20T11:23:05.347Z","2"
"31","1","11","assignment","Zu welchem Thema gehört folgender Begriff: BPMS (Business Process Management System)?","[{""id"":""a"",""text"":""Datenschutz"",""correct"":false},{""id"":""b"",""text"":""Prozessdigitalisierung"",""correct"":true},{""id"":""c"",""text"":""Lizenzmodelle"",""correct"":false},{""id"":""d"",""text"":""Wirtschaftlichkeit"",""correct"":false}]","","Ein BPMS-System ist ein Tool, das speziell zur Modellierung, Implementierung und kontinuierlichen Verbesserung von Geschäftsprozessen im Rahmen der Prozessdigitalisierung eingesetzt wird.","basic","2025-08-20T07:12:10.581Z","2025-08-20T09:57:55.751Z","2"
"32","2","12","assignment","Zu welchem Thema gehört folgender Begriff: Betriebsvereinbarung","[{""id"":""a"",""text"":""Arbeitsrechtliche Gleichbehandlung"",""correct"":false},{""id"":""b"",""text"":""Arbeitszeitgesetz"",""correct"":false},{""id"":""c"",""text"":""Rechtsquellen im Arbeitsrecht"",""correct"":true},{""id"":""d"",""text"":""Nebentätigkeiten"",""correct"":false}]","","Die Betriebsvereinbarung gehört zu den besonderen Rechtsquellen im Arbeitsrecht und gilt im Betrieb wie ein Gesetz.","basic","2025-08-20T07:12:23.578Z","2025-08-20T08:07:29.708Z","3"
"33","2","12","case","Ein Mitarbeiter wird häufig kurzzeitig krank und der Arbeitgeber überlegt, eine Kündigung prononciert durchzuführen. Welche Voraussetzungen muss erfüllt sein, damit die Kündigung rechtmäßig ist?","[{""id"":""a"",""text"":""Negative Zukunftsprognose ohne betriebliche Beeinträchtigung."",""correct"":false},{""id"":""b"",""text"":""Langanhaltende Erkrankung als einziger Kündigungsgrund."",""correct"":false},{""id"":""c"",""text"":""Negative Zukunftsprognose und betriebliche Beeinträchtigung."",""correct"":true},{""id"":""d"",""text"":""Jährlich mehr als 30 Krankheitstage, ohne Rücksicht auf die Betriebsgröße."",""correct"":false}]","","Eine personenbedingte Kündigung bei Krankheit setzt eine negative Zukunftsprognose und betriebliche Beeinträchtigungen voraus, wie etwa Störungen des Betriebsablaufs oder hohe Kosten aufgrund der Krankheitszeiten.","basic","2025-08-20T07:12:23.579Z","2025-08-20T18:41:03.383Z","5"
"34","3","13","definition","Was versteht man unter einer 'betriebswirtschaftlichen Auswertung' (BWA)?","[{""id"":""a"",""text"":""Eine gesetzlich vorgeschriebene Bilanzübersicht für Unternehmen."",""correct"":false},{""id"":""b"",""text"":""Ein Plan zur zukünftigen Unternehmensentwicklung."",""correct"":false},{""id"":""c"",""text"":""Ein Instrument zur Überwachung und Bewertung der Umsatz- und Kostensituation eines Unternehmens."",""correct"":true},{""id"":""d"",""text"":""Ein System zur Verwaltung von Kundendaten im CRM."",""correct"":false}]","","Die betriebswirtschaftliche Auswertung ist ein Controlling-Instrument, das einen Überblick über Umsatz, Kosten und wesentliche Finanzkennzahlen zur Beurteilung von Gewinn und Verlust im laufenden Geschäftsjahr bietet.","basic","2025-08-20T07:12:35.058Z","2025-08-20T11:19:49.487Z","2"
"35","3","13","assignment","Zu welchem Thema gehört folgender Begriff: Click-Through-Rate (CTR)","[{""id"":""a"",""text"":""Erlöskennzahlen"",""correct"":false},{""id"":""b"",""text"":""E-Commerce-spezifische Kennzahlen"",""correct"":true},{""id"":""c"",""text"":""Soll-Ist-Vergleich"",""correct"":false},{""id"":""d"",""text"":""Periodenabgrenzung"",""correct"":false}]","","Die Click-Through-Rate (CTR) ist eine e-commerce-spezifische Kennzahl, die das Verhältnis von Klicks auf ein Werbemittel zu den Impressionen misst.","basic","2025-08-20T07:12:35.059Z","2025-08-20T11:35:06.311Z","2"
"36","4","14","definition","Was versteht man unter einem Internen Kontrollsystem (IKS) im Unternehmenskontext?","[{""id"":""a"",""text"":""Ein System zur Steuerung von Unternehmensakten"",""correct"":false},{""id"":""b"",""text"":""Ein Teilsystem der Unternehmensüberwachung, das den Schutz des Unternehmensvermögens sichert"",""correct"":true},{""id"":""c"",""text"":""Eine Plattform für interne Unternehmenskommunikation"",""correct"":false},{""id"":""d"",""text"":""Ein System zur Verbesserung der Kundenzufriedenheit"",""correct"":false}]","","Ein Internes Kontrollsystem (IKS) ist ein Teilsystem der Unternehmensüberwachung, das mit dem Ziel eingesetzt wird, das Unternehmensvermögen zu schützen und die verlässliche Steuerung von Unternehmensaktivitäten sicherzustellen.","basic","2025-08-20T07:12:45.903Z","2025-08-20T11:24:10.273Z","2"
"37","4","14","assignment","Zu welchem Thema gehört folgender Begriff: COSO-Modell","[{""id"":""a"",""text"":""Reifegradmodell"",""correct"":false},{""id"":""b"",""text"":""International Professional Practices Framework"",""correct"":false},{""id"":""c"",""text"":""Corporate Governance"",""correct"":false},{""id"":""d"",""text"":""Internes Kontrollsystem"",""correct"":true}]","","Das COSO-Modell gehört zum Thema 'Internes Kontrollsystem'. Es dient der Qualitätsverbesserung der Finanzberichterstattung und setzt Maßstäbe für ethisches Handeln, wirksame interne Kontrollen und gute Unternehmensführung.","basic","2025-08-20T07:12:45.903Z","2025-08-20T08:07:19.122Z","3"
"38","5","15","definition","Was versteht man unter dem Begriff 'Customer Journey'? Definieren Sie diesen.","[{""id"":""a"",""text"":""Die Analyse von internen Unternehmensprozessen zur Kostenoptimierung."",""correct"":false},{""id"":""b"",""text"":""Eine umfassende Betrachtung aller Berührungspunkte eines Kunden mit einem Unternehmen von der Bewusstseinsbildung bis zur Loyalität."",""correct"":true},{""id"":""c"",""text"":""Die Implementierung von Werbestrategien zur Umsatzsteigerung in der digitalen Welt."",""correct"":false},{""id"":""d"",""text"":""Ein technisches System, das automatische Bestellprozesse in Online-Shops verwaltet."",""correct"":false}]","","Die Customer Journey beschreibt die 'Reise' eines Kunden durch alle Berührungspunkte mit einem Unternehmen, von der ersten Aufmerksamkeit bis hin zur Kundenbindung und Empfehlung.","basic","2025-08-20T07:13:01.546Z","2025-08-20T11:30:02.992Z","2"
"39","5","15","assignment","Zu welchem Thema gehört folgender Begriff: CJM (Customer Journey Mapping)","[{""id"":""a"",""text"":""Prozessmanagement"",""correct"":false},{""id"":""b"",""text"":""Customer Experience"",""correct"":false},{""id"":""c"",""text"":""Customer Journey"",""correct"":true},{""id"":""d"",""text"":""Digital Marketing"",""correct"":false}]","","Das Customer Journey Mapping (CJM) ist ein Teil der Customer Journey und dient dazu, die verschiedenen Schritte und Touchpoints einer Kundenerfahrung detailliert zu visualisieren, um sie besser analysieren und optimieren zu können.","basic","2025-08-20T07:13:01.547Z","2025-08-20T11:30:10.180Z","2"
